,Title,Rating,votings,Duration,voting_counts
100,105. Spitfire,7.0, (16),1h 30m, (2.2K)
101,106. Captain Kidd,6.3, (16),1h 30m, (2.2K)
102,108. The Buccaneer,6.6, (16),2h 6m, (820)
103,109. The Dove,6.3, (16),1h 45m, (487)
104,110. Sign of the Pagan,5.9, (16),1h 32m, (796)
105,111. In Search of Fellini,6.2, (16),1h 33m, (2.9K)
106,112. God Loves Caviar,5.9, (16),1h 41m, (3.3K)
107,113. Marco the Magnificent,5.3, (16),1h 40m, (653)
108,114. The Flight of the Eagle,7.2, (16),2h 20m, (1.3K)
109,115. Antarctica: A Year on Ice,7.6, (16),1h 31m, (3.8K)
110,116. The Other Side of Heaven 2: Fire of Faith,5.5, (16),1h 57m, (488)
111,117. Cloud Air: The Movie,6.8, (16),2h, (47)
112,118. The Last Man on the Moon,7.4, (16),1h 35m, (3.6K)
113,119. How to Change the World,7.5, (16),1h 50m, (1.3K)
114,120. Becoming Cousteau,7.1, (16),1h 34m, (1.6K)
115,121. Orange Sunshine,7.3, (16),1h 45m, (644)
116,122. Mully,8.2, (16),1h 21m, (479)
117,123. Sunday's Children,6.9, (16),1h 58m, (914)
118,124. Solo,5.0, (16),1h 31m, (3.4K)
119,125. Nine Lives,7.2, (16),1h 36m, (2K)
120,127. Gagarin: First in Space,6.5, (16),1h 48m, (3.7K)
121,128. Xingu,7.1, (16),1h 42m, (2K)
122,129. His Majesty O'Keefe,6.1, (16),1h 31m, (1.5K)
123,130. Marco Polo,6.3, (16),1h 48m, (397)
124,132. Lane 1974,6.2, (16),1h 19m, (363)
125,133. Dschungelkind,7.1, (16),2h 11m, (1.4K)
126,134. Cabeza de Vaca,6.9, (16),1h 51m, (1.2K)
127,135. Buddha: The Great Departure,6.3, (16),1h 51m, (515)
128,136. Dirtbag: The Legend of Fred Beckey,7.6, (16),1h 36m, (591)
129,138. Omar Khayyam,5.9, (16),1h 41m, (396)
130,139. Free Energy of Tesla,8.2, (16),53m, (122)
131,140. The Legend of Suriyothai,6.4, (16),2h 22m, (2K)
132,141. Serpent of the Nile,5.1, (16),1h 21m, (359)
133,142. The Naked Maja,5.5, (16),1h 51m, (449)
134,144. The Adventures of Marco Polo,5.6, (16),1h 44m, (1.2K)
135,146. The Birdman,5.4, (16),1h 17m, (58)
136,147. We,5.8, (16),1h 25m, (71)
137,148. Amina,4.1, (16),1h 45m, (514)
138,149. El Cid: The Legend,5.4, (16),1h 30m, (1.1K)
139,150. The Other Shore: The Diana Nyad Story,7.2, (16),1h 37m, (391)
140,151. God Is My Co-Pilot,6.5, (16),1h 30m, (746)
141,152. Clive of India,6.2, (16),1h 34m, (470)
142,153. Milarepa,7.0, (16),1h 30m, (1.1K)
143,154. Poliorkia,6.9, (16),1h 41m, (131)
144,156. Rob Roy: The Highland Rogue,6.3, (16),1h 21m, (689)
145,157. November Tenth,6.4, (16),1h 39m, (3.1K)
146,158. Papaflessas,7.0, (16),2h 10m, (977)
147,159. The Great Indian Escape,7.1, (16),1h 57m, (65)
148,160. Buddha,6.7, (16),2h 19m, (102)
149,161. Buddha 2: The Endless Journey,6.3, (16),1h 25m, (239)
150,162. Joachim and the Apocalypse,7.2, (16),1h 30m, (13)
151,163. Poorna,7.7, (16),1h 40m, (1.5K)
152,165. Girl with No Mouth,5.4, (16),1h 37m, (456)
153,166. The Dog,6.7, (16),1h 41m, (1K)
154,167. To Walk with Lions,6.7, (16),1h 48m, (944)
155,168. Unbreakable: The Western States 100,7.7, (16),1h 46m, (228)
156,"169. The Tulse Luper Suitcases, Part 2: Vaux to the Sea",6.9, (16),1h 48m, (685)
157,170. Povelitel vetra,6.0, (16),1h 34m, (290)
158,171. The Barefoot Bandit Documentary,8.2, (16),1h 14m, (54)
159,172. Gore,3.3, (16),2h, (53)
160,173. The Life of General Villa,6.1, (16),1h 45m, (79)
161,"174. Bruce Lee: The Man, the Myth",5.2, (16),1h 30m, (510)
162,175. McConkey,8.3, (16),1h 40m, (893)
163,176. Charuga,7.3, (16),1h 48m, (529)
164,"177. Nzinga, Queen of Angola",5.7, (16),1h 49m, (141)
165,178. Memories of My Childhood,8.0, (16),1h 12m, (600)
166,179. Seven Cities of Gold,5.8, (16),1h 43m, (608)
167,180. Elephant,7.3, (16),1h 26m, (2.5K)
168,181. Valentino,5.7, (16),1h 42m, (374)
169,183. Caesar the Conqueror,4.7, (16),1h 43m, (295)
170,184. Assault to Freedom,6.1, (16),1h 19m, (19)
171,185. Charged: The Eduardo Garcia Story,7.4, (16),1h 26m, (682)
172,187. Persona Non Grata,6.5, (16),2h 19m, (269)
173,188. Vessel,7.5, (16),1h 30m, (271)
174,189. 12 Paces Without a Head,5.4, (16),1h 48m, (461)
175,191. Jack London,5.1, (16),1h 34m, (476)
176,192. Antarctica: Ice and Sky,6.9, (16),1h 29m, (609)
177,193. Exodos 1826: A Road of No Return,6.8, (16),1h 36m, (397)
178,194. Piché: entre ciel et terre,7.0, (16),1h 47m, (549)
179,195. Christopher Columbus,6.0, (16),1h 39m, (628)
180,196. The Last Lost Kingdom,8.1, (16),1h 33m, (41)
181,"197. The Tulse Luper Suitcases, Part 3: From Sark to the Finish",6.8, (16),2h 4m, (493)
182,198. Where's Jack?,6.5, (16),2h, (203)
183,199. Gabriel and the Mountain,7.0, (16),2h 11m, (1.5K)
184,200. Song of Scheherazade,6.3, (16),1h 45m, (249)
185,201. Balladen om mestertyven Ole Høiland,5.9, (16),1h 44m, (165)
186,203. The Young Rebel,5.6, (16),1h 51m, (218)
187,206. No More Trouble - Cosa rimane di una tempesta,8.4, (16),1h 37m, (18)
188,207. The Youngest Evangelist,5.4, (16),2h 18m, (37)
189,208. Motorcycle Girl,7.2, (16),2h 1m, (329)
190,209. Descent,7.8, (16),1h, (44)
191,210. Bouboulina,6.4, (16),1h 24m, (174)
192,211. I Want to Live,8.0, (16),1h 46m, (3.4K)
193,212. Aum!,7.1, (16),1h 25m, (73)
194,213. Mission to Lars,6.7, (16),1h 14m, (1K)
195,214. Pacific Adventure,6.8, (16),1h 35m, (59)
196,215. The Great Dan Patch,5.8, (16),1h 34m, (269)
197,216. Leil Khargi,6.9, (16),1h 35m, (1.2K)
198,217. Kink Crusaders,6.6, (16),1h 14m, (66)
199,"219. Solo, Solitude",7.3, (16),1h 37m, (275)
200,221. The Lady and the Bandit,6.2, (16),1h 19m, (106)
201,222. Mooncussers,6.6, (16),1h 25m, (49)
202,223. Penton: The John Penton Story,8.1, (16),2h 15m, (22)
203,225. Il ricercatore,5.8, (16),1h 11m, (7)
204,226. Little World,7.6, (16),1h 24m, (290)
205,228. Marco Polo: Return to Xanadu,4.8, (16),1h 22m, (126)
206,230. Finding Traction,6.6, (16),57m, (288)
207,231. Missing Mom,6.0, (16),1h 25m, (464)
208,232. Tiger Tiger,9.1, (16),1h 30m, (15)
209,234. Bunker77,6.6, (16),1h 26m, (150)
210,235. This Way of Life,7.9, (16),1h 24m, (500)
211,236. My Reincarnation,6.2, (16),1h 30m, (266)
212,237. Marina Abramovic In Brazil: The Space In Between,7.1, (16),1h 26m, (497)
213,239. The Highest Pass,6.9, (16),1h 30m, (114)
214,240. Portable Life,5.0, (16),1h 26m, (82)
215,242. San Martín: El cruce de Los Andes,6.8, (16),1h 30m, (610)
216,243. Super Task Force One,6.1, (16),1h 9m, (55)
217,244. De zee die denkt,7.0, (16),1h 40m, (580)
218,245. Kenka karate kyokushin burai ken,6.6, (16),1h 27m, (349)
219,246. The Great Wall,6.5, (16),3h 20m, (75)
