Title,Rating,votings,Duration,voting_counts
118. Monsters vs. Aliens,6.4,49,1h 34m,182000.0
119. The Cannonball Run,6.2,49,1h 35m,42000.0
120. Rat Race,6.5,49,1h 52m,126000.0
121. Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,6.1,49,1h 49m,273000.0
122. Raya and the Last Dragon,7.3,49,1h 47m,180000.0
124. How to Train Your Dragon 2,7.8,49,1h 42m,379000.0
125. Charlie's Angels: Full Throttle,4.9,49,1h 46m,136000.0
126. You Don't Mess with the Zohan,5.6,49,1h 53m,220000.0
127. Austin Powers in Goldmember,6.2,49,1h 34m,228000.0
128. The Iron Giant,8.1,49,1h 26m,243000.0
129. It's a Mad Mad Mad Mad World,7.5,49,3h 30m,48000.0
130. Planet Terror,7.0,49,1h 45m,228000.0
131. The School for Good and Evil,5.9,49,2h 27m,39000.0
132. Romancing the Stone,6.9,49,1h 46m,107000.0
134. Austin Powers: The Spy Who Shagged Me,6.7,49,1h 35m,255000.0
135. Hot Shots!,6.7,49,1h 25m,120000.0
136. Spy Kids,5.6,49,1h 28m,131000.0
137. Journey 2: The Mysterious Island,5.7,49,1h 34m,116000.0
138. Rush Hour 2,6.7,49,1h 30m,249000.0
139. Tag,6.5,49,1h 40m,155000.0
140. Rango,7.3,49,1h 47m,304000.0
142. Brothers,5.4,49,1h 29m,13000.0
143. Zombieland: Double Tap,6.7,49,1h 39m,214000.0
144. 3 Ninjas,5.3,49,1h 24m,24000.0
145. Mayhem,6.4,49,1h 26m,27000.0
146. The Adam Project,6.7,49,1h 46m,245000.0
147. We Can Be Heroes,4.7,49,1h 40m,18000.0
148. Army of Thieves,6.4,49,2h 7m,93000.0
149. Love and Monsters,6.9,49,1h 49m,152000.0
150. Dick Tracy,6.2,49,1h 45m,68000.0
151. Weird: The Al Yankovic Story,6.9,49,1h 48m,44000.0
152. The Lego Batman Movie,7.3,49,1h 44m,181000.0
153. Last Action Hero,6.5,49,2h 10m,169000.0
154. The Gardener,4.1,49,1h 50m,1100.0
155. Rush Hour 3,6.2,49,1h 31m,191000.0
156. Ant-Man and the Wasp,7.0,49,1h 58m,470000.0
157. Mad Heidi,5.5,49,1h 32m,4800.0
158. Please Don't Destroy: The Treasure of Foggy Mountain,6.0,49,1h 32m,9900.0
159. Speed Racer,6.1,49,2h 15m,80000.0
160. Ghostbusters II,6.6,49,1h 48m,233000.0
161. The Brothers Grimm,5.9,49,1h 58m,129000.0
162. Pineapple Express,6.9,49,1h 51m,364000.0
163. Knight and Day,6.3,49,1h 49m,217000.0
164. Wild Wild West,4.9,49,1h 46m,170000.0
165. Street Fighter,4.1,49,1h 42m,77000.0
166. The Mask of Zorro,6.8,49,2h 16m,203000.0
167. Men in Black: International,5.6,49,1h 54m,153000.0
168. Charlie's Angels,5.0,49,1h 58m,83000.0
169. Dora and the Lost City of Gold,6.1,49,1h 42m,37000.0
170. Team America: World Police,7.2,49,1h 38m,182000.0
171. Megamind,7.3,49,1h 35m,308000.0
172. Ghostbusters,6.8,49,1h 57m,253000.0
173. Buffy the Vampire Slayer,5.7,49,1h 26m,52000.0
174. The World's End,6.9,49,1h 49m,305000.0
175. Teenage Mutant Ninja Turtles: Out of the Shadows,5.9,49,1h 52m,103000.0
176. The Angry Birds Movie,6.3,49,1h 37m,110000.0
177. Sahara,6.1,49,2h 4m,106000.0
178. Central Intelligence,6.3,49,1h 47m,225000.0
179. Pain & Gain,6.4,49,2h 9m,235000.0
180. Jackpot!,5.8,49,1h 46m,30000.0
181. 2 Guns,6.7,49,1h 49m,231000.0
182. Superman III,5.0,49,2h 5m,77000.0
183. Bad Boys II,6.6,49,2h 27m,280000.0
184. The Hitman's Bodyguard,6.9,49,1h 58m,255000.0
185. Dhoom Dhaam,6.4,49,1h 48m,5400.0
187. Jungle Cruise,6.6,49,2h 7m,220000.0
188. George of the Jungle,5.6,49,1h 32m,87000.0
189. Shotgun Wedding,5.5,49,1h 41m,41000.0
190. Spenser Confidential,6.2,49,1h 51m,102000.0
191. The Ridiculous 6,4.9,49,1h 59m,56000.0
192. Lightyear,6.1,49,1h 45m,130000.0
193. Scouts Guide to the Zombie Apocalypse,6.3,49,1h 33m,58000.0
194. Crocodile Dundee II,5.7,49,1h 51m,62000.0
195. Land of the Lost,5.3,49,1h 42m,77000.0
196. The Adventures of Sharkboy and Lavagirl 3-D,3.8,49,1h 33m,44000.0
197. Kung Fu Panda 2,7.3,49,1h 30m,337000.0
198. Kick-Ass 2,6.5,49,1h 43m,294000.0
199. Bad Boys for Life,6.5,49,2h 4m,190000.0
200. 22 Jump Street,7.0,49,1h 52m,421000.0
201. Spy Kids 3: Game Over,4.4,49,1h 24m,69000.0
202. Puss in Boots,6.6,49,1h 30m,201000.0
203. Tango & Cash,6.4,49,1h 44m,117000.0
204. The Pacifier,5.6,49,1h 35m,104000.0
205. Midnight Run,7.5,49,2h 6m,99000.0
206. The Expendables 3,6.1,49,2h 6m,201000.0
207. The Interview,6.5,49,1h 52m,366000.0
208. Small Soldiers,6.3,49,1h 50m,108000.0
209. Howard the Duck,4.8,49,1h 50m,53000.0
210. Smokin' Aces,6.6,49,1h 48m,155000.0
211. The Cowboy Way,5.9,49,1h 42m,9400.0
212. Pride and Prejudice and Zombies,5.8,49,1h 48m,62000.0
213. Tank Girl,5.4,49,1h 44m,36000.0
214. Keeping Up with the Joneses,5.9,49,1h 45m,70000.0
215. Hitpig,5.1,49,1h 26m,865.0
216. Guns Akimbo,6.3,49,1h 38m,74000.0
217. Zathura: A Space Adventure,6.3,49,1h 41m,120000.0
218. Shaft,6.4,49,1h 51m,60000.0
219. The Life Aquatic with Steve Zissou,7.2,49,1h 59m,215000.0
220. Now You See Me 2,6.4,49,2h 9m,336000.0
221. The Machine,5.7,49,1h 52m,17000.0
222. The Italian Job,7.2,49,1h 39m,52000.0
223. Freelance,5.5,49,1h 48m,25000.0
224. Drive Angry,5.4,49,1h 44m,105000.0
225. Smokey and the Bandit,7.0,49,1h 36m,59000.0
226. Bandidas,5.7,49,1h 33m,38000.0
227. Kung Fu Hustle,7.7,49,1h 39m,156000.0
228. The Way of the Dragon,7.2,49,1h 30m,43000.0
229. Fool's Gold,5.7,49,1h 52m,87000.0
230. Willy's Wonderland,5.5,49,1h 28m,41000.0
231. Slave Girls from Beyond Infinity,4.4,49,1h 14m,2700.0
233. Maximum Overdrive,5.4,49,1h 38m,38000.0
234. The Heat,6.6,49,1h 57m,185000.0
235. PAW Patrol: The Mighty Movie,5.9,49,1h 28m,5800.0
